centract2020,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022
36085013203,5,4,2,12,7,3,-1,3,5,-1,0,3,17
36085013201,0,-1,1,3,4,-2,1,0,-1,0,1,2,-2
36085012806,0,-1,-33,4,-2,-2,2,1,1,3,7,1,0
36085012805,16,-2,2,-11,-49,-1,-1,1,1,0,11,0,2
36085012804,1,4,-4,-27,-2,0,3,14,17,6,4,-2,6
36085012500,0,1,0,0,1,-1,12,2,2,-1,0,1,0
36085012200,4,0,4,-2,2,2,6,-3,5,16,3,2,0
36085012100,1,-1,-1,1,0,0,5,-2,7,1,-1,0,0
36085011402,6,4,1,6,1,2,3,4,4,4,1,0,2
36085011401,2,4,1,1,-1,3,0,0,-1,0,1,5,-2
36085011204,0,0,0,0,0,0,0,0,0,0,0,0,0
36085011203,5,13,18,-4,-4,15,-9,-33,64,18,14,4,-5
36085011201,6,18,4,-18,-3,7,8,-11,23,11,2,5,-3
36085010500,0,5,4,5,-1,-3,3,-1,0,18,-1,2,4
36085009702,0,0,0,0,0,0,0,0,0,0,0,0,0
36085009701,55,3,1,80,0,0,0,7,2,10,0,0,0
36085009602,7,13,10,2,7,3,10,8,7,15,4,18,21
36085009601,2,0,2,0,4,7,-3,4,1,-3,2,3,-2
36085008100,6,60,6,10,7,2,0,1,0,-1,4,0,0
36085007700,2,0,0,0,0,3,8,2,5,-1,10,2,0
36085007500,2,0,-2,0,-1,-296,5,-1,1,3,3,4,0
36085007400,3,1,1,-2,-2,4,0,-2,10,16,11,-1,-1
36085007002,19,8,15,9,3,0,-4,-8,22,17,3,3,2
36085007001,10,6,-1,3,2,7,3,0,-2,0,3,1,7
36085006700,1,0,-2,1,0,-1,0,0,-1,0,-1,4,1
36085006400,4,0,5,2,2,0,1,1,2,3,1,4,-1
36085005902,0,0,0,0,0,0,0,0,0,0,0,0,0
36085005901,1,0,4,2,2,2,5,0,0,1,0,-1,0
36085005000,0,0,1,3,4,0,6,3,20,2,5,5,0
36085004700,113,3,0,0,1,0,0,-1,0,2,1,3,2
36085004004,0,3,2,0,0,5,11,6,-1,2,2,0,0
36085004003,0,0,0,5,0,0,0,0,0,0,0,0,1
36085004002,0,0,0,0,4,34,42,21,0,0,0,0,0
36085004001,1,2,0,1,0,2,0,-1,11,-1,4,0,0
36085003900,1,0,0,-1,0,0,0,1,2,18,0,0,0
36085003600,1,20,4,-1,5,14,-2,6,0,-1,-1,2,6
36085003300,0,6,-1,1,0,0,4,0,0,0,0,0,0
36085002900,114,2,6,3,-2,3,0,3,0,5,5,1,9
36085002700,-3,6,0,0,8,0,0,0,-46,0,4,0,0
36085002100,7,21,93,-8,0,1,572,66,-3,13,11,2,0
36085002002,-1,7,5,1,0,1,-2,6,4,2,4,0,2
36085002001,-1,0,7,3,0,0,4,0,1,0,4,13,2
36085001800,0,0,0,0,0,0,0,0,0,0,0,0,0
36085001700,7,0,0,39,-1,2,0,0,-1,4,4,0,2
36085001100,8,16,13,2,10,5,5,38,3,-6,5,11,2
36085000900,0,2,1,0,1,0,0,7,0,0,0,9,0
36085000800,5,7,4,8,3,16,3,-1,9,3,-1,10,5
36085000700,-2,1,-1,1,0,0,0,0,0,0,0,0,0
36085000600,5,0,-3,3,3,0,3,0,-2,5,-1,-1,0
36085000300,6,4,0,0,0,-2,0,0,-1,0,-1,2,0
36081162100,7,6,0,3,4,4,1,-3,0,3,1,1,0
36081161700,0,1,-2,4,4,1,0,1,1,0,0,1,0
